time,px,py,pz,vx,vy,vz,ax,ay,az
0.0,7.0,0.0,2.0,-0.0,-1.3333332538604736,0.0,-4.222222328186035,-0.0,0.0
0.01,6.999788761138916,-0.01333341933786869,2.0,-0.04222172498703003,-1.3333591222763062,0.0,-4.222073078155518,-0.0051849596202373505,0.0
0.02,6.999155521392822,-0.026667363941669464,2.0,-0.0844404548406601,-1.3334370851516724,0.0,-4.221624851226807,-0.010368578135967255,0.0
0.03,6.998100280761719,-0.040002334862947464,2.0,-0.12665320932865143,-1.3335665464401245,0.0,-4.2208781242370605,-0.015549518167972565,0.0
0.04,6.996622562408447,-0.05333886295557022,2.0,-0.16885702311992645,-1.3337478637695312,0.0,-4.219832420349121,-0.02072642743587494,0.0
0.05,6.994722843170166,-0.06667747348546982,2.0,-0.21104887127876282,-1.333980917930603,0.0,-4.2184882164001465,-0.025897972285747528,0.0
0.06,6.992401123046875,-0.08001866191625595,2.0,-0.25322577357292175,-1.334265947341919,0.0,-4.216845512390137,-0.031062819063663483,0.0
0.07,6.989658355712891,-0.093362957239151,2.0,-0.29538479447364807,-1.3346022367477417,0.0,-4.214905261993408,-0.03621961921453476,0.0
0.08,6.986494064331055,-0.10671091079711914,2.0,-0.3375228941440582,-1.334990382194519,0.0,-4.212666034698486,-0.04136703163385391,0.0
0.09,6.982908248901367,-0.1200629323720932,2.0,-0.37963712215423584,-1.3354296684265137,0.0,-4.2101287841796875,-0.04650375247001648,0.0
0.1,6.978901386260986,-0.13341964781284332,2.0,-0.42172449827194214,-1.3359203338623047,0.0,-4.207294464111328,-0.05162839591503143,0.0
0.11,6.97447395324707,-0.14678147435188293,2.0,-0.4637819826602936,-1.3364620208740234,0.0,-4.204161643981934,-0.056739673018455505,0.0
0.12,6.969625473022461,-0.16014903783798218,2.0,-0.5058066844940186,-1.3370548486709595,0.0,-4.200732231140137,-0.06183619797229767,0.0
0.13,6.964357852935791,-0.17352280020713806,2.0,-0.5477956533432007,-1.3376989364624023,0.0,-4.197005748748779,-0.06691668927669525,0.0
0.14,6.958670139312744,-0.1869032084941864,2.0,-0.5897458791732788,-1.338393211364746,0.0,-4.1929826736450195,-0.07197980582714081,0.0
0.15,6.952563285827637,-0.20029082894325256,2.0,-0.6316543817520142,-1.3391382694244385,0.0,-4.188662528991699,-0.07702422142028809,0.0
0.16,6.9460368156433105,-0.21368616819381714,2.0,-0.6735181212425232,-1.3399337530136108,0.0,-4.184046745300293,-0.08204859495162964,0.0
0.17,6.939092636108398,-0.22708967328071594,2.0,-0.7153342962265015,-1.340779185295105,0.0,-4.179135322570801,-0.0870516300201416,0.0
0.18,6.931730270385742,-0.24050188064575195,2.0,-0.7570998668670654,-1.3416748046875,0.0,-4.173929214477539,-0.0920320451259613,0.0
0.19,6.923950672149658,-0.25392329692840576,2.0,-0.7988117933273315,-1.342619776725769,0.0,-4.168427467346191,-0.09698840975761414,0.0
0.2,6.915754318237305,-0.26735445857048035,2.0,-0.8404673933982849,-1.3436142206192017,0.0,-4.162631511688232,-0.10191947221755981,0.0
0.21,6.907142162322998,-0.28079578280448914,2.0,-0.8820635080337524,-1.3446581363677979,0.0,-4.15654182434082,-0.10682398080825806,0.0
0.22,6.898113250732422,-0.29424774646759033,2.0,-0.9235972166061401,-1.3457508087158203,0.0,-4.150158882141113,-0.11170056462287903,0.0
