time,px,py,pz,vx,vy,vz,ax,ay,az
0.0,7.0,0.0,2.0,-0.0,-1.9999998807907104,0.0,-9.5,-0.0,0.0
0.01,6.99952507019043,-0.020000291988253593,2.0,-0.09499747306108475,-2.000087261199951,0.0,-9.49924373626709,-0.017498299479484558,0.0
0.02,6.998100280761719,-0.040002334862947464,2.0,-0.18997982144355774,-2.000349760055542,0.0,-9.496975898742676,-0.03498641401529312,0.0
0.03,6.995725631713867,-0.06000785529613495,2.0,-0.2849319577217102,-2.0007870197296143,0.0,-9.493194580078125,-0.05245416611433029,0.0
0.04,6.992401123046875,-0.08001866191625595,2.0,-0.37983864545822144,-2.001399040222168,0.0,-9.487902641296387,-0.06989134103059769,0.0
0.05,6.988129138946533,-0.10003642737865448,2.0,-0.4746849536895752,-2.0021848678588867,0.0,-9.481101036071777,-0.08728782832622528,0.0
0.06,6.982908248901367,-0.1200629323720932,2.0,-0.5694556832313538,-2.0031445026397705,0.0,-9.472789764404297,-0.10463344305753708,0.0
0.07,6.97674036026001,-0.1400998830795288,2.0,-0.664135754108429,-2.004277467727661,0.0,-9.462971687316895,-0.12191800028085709,0.0
0.08,6.969625473022461,-0.16014903783798218,2.0,-0.7587100267410278,-2.005582332611084,0.0,-9.451647758483887,-0.13913144171237946,0.0
0.09,6.961565971374512,-0.180212140083313,2.0,-0.8531636595726013,-2.0070595741271973,0.0,-9.438819885253906,-0.15626361966133118,0.0
0.1,6.952563285827637,-0.20029082894325256,2.0,-0.9474815726280212,-2.0087075233459473,0.0,-9.424490928649902,-0.1733044981956482,0.0
0.11,6.942617416381836,-0.220386803150177,2.0,-1.0416486263275146,-2.0105252265930176,0.0,-9.408663749694824,-0.19024401903152466,0.0
0.12,6.931730270385742,-0.24050188064575195,2.0,-1.1356498003005981,-2.01251220703125,0.0,-9.391340255737305,-0.20707210898399353,0.0
0.13,6.919904708862305,-0.26063764095306396,2.0,-1.2294702529907227,-2.0146663188934326,0.0,-9.37252426147461,-0.223778635263443,0.0
0.14,6.907142162322998,-0.28079578280448914,2.0,-1.3230953216552734,-2.0169873237609863,0.0,-9.352218627929688,-0.24035395681858063,0.0
0.15,6.893443584442139,-0.30097800493240356,2.0,-1.4165098667144775,-2.01947283744812,0.0,-9.330429077148438,-0.25678783655166626,0.0
0.16,6.878812313079834,-0.32118579745292664,2.0,-1.5096988677978516,-2.0221221446990967,0.0,-9.307156562805176,-0.273070752620697,0.0
0.17,6.863250732421875,-0.3414209485054016,2.0,-1.6026477813720703,-2.0249340534210205,0.0,-9.282408714294434,-0.2891924977302551,0.0
0.18,6.846760272979736,-0.36168503761291504,2.0,-1.6953423023223877,-2.0279054641723633,0.0,-9.256187438964844,-0.3051435351371765,0.0
0.19,6.829344749450684,-0.3819795250892639,2.0,-1.787766933441162,-2.031036138534546,0.0,-9.228498458862305,-0.32091403007507324,0.0
0.2,6.81100606918335,-0.4023061990737915,2.0,-1.8799073696136475,-2.0343234539031982,0.0,-9.199347496032715,-0.3364942669868469,0.0
0.21,6.791747570037842,-0.4226665496826172,2.0,-1.9717488288879395,-2.0377655029296875,0.0,-9.168739318847656,-0.3518746495246887,0.0
0.22,6.771571636199951,-0.44306206703186035,2.0,-2.063277244567871,-2.0413601398468018,0.0,-9.136677742004395,-0.36704549193382263,0.0
0.23,6.750482559204102,-0.46349436044692993,2.0,-2.154477596282959,-2.045105457305908,0.0,-9.103171348571777,-0.3819972574710846,0.0
