time,px,py,pz,vx,vy,vz,ax,ay,az
0.0,7.0,0.0,2.0,-0.0,-0.800000011920929,0.0,-1.5200001001358032,-0.0,0.0
0.01,6.9999237060546875,-0.008000019006431103,2.0,-0.015199935995042324,-0.8000055551528931,0.0,-1.5199809074401855,-0.001119982567615807,0.0
0.02,6.999695777893066,-0.01600014977157116,2.0,-0.030399484559893608,-0.8000224232673645,0.0,-1.5199227333068848,-0.0022398612927645445,0.0
0.03,6.999316215515137,-0.024000506848096848,2.0,-0.045598261058330536,-0.8000503182411194,0.0,-1.51982581615448,-0.0033595291897654533,0.0
0.04,6.998784065246582,-0.032001201063394547,2.0,-0.060795873403549194,-0.8000896573066711,0.0,-1.5196903944015503,-0.004478885792195797,0.0
0.05,6.998100280761719,-0.040002334862947464,2.0,-0.0759919285774231,-0.8001399636268616,0.0,-1.5195162296295166,-0.005597826559096575,0.0
0.06,6.9972639083862305,-0.04800403118133545,2.0,-0.09118606150150299,-0.8002014756202698,0.0,-1.5193032026290894,-0.006716243457049131,0.0
0.07,6.996276378631592,-0.05600640922784805,2.0,-0.10637786984443665,-0.8002743124961853,0.0,-1.5190516710281372,-0.007834035903215408,0.0
0.08,6.995136737823486,-0.06400955468416214,2.0,-0.12156697362661362,-0.8003583550453186,0.0,-1.5187612771987915,-0.0089510977268219,0.0
0.09,6.993844985961914,-0.07201359421014786,2.0,-0.13675296306610107,-0.800453245639801,0.0,-1.5184322595596313,-0.010067328810691833,0.0
0.1,6.992401123046875,-0.08001866191625595,2.0,-0.15193547308444977,-0.8005595803260803,0.0,-1.5180644989013672,-0.011182615533471107,0.0
0.11,6.9908061027526855,-0.08802482485771179,2.0,-0.16711410880088806,-0.8006768822669983,0.0,-1.5176583528518677,-0.012296863831579685,0.0
0.12,6.989058971405029,-0.09603224694728851,2.0,-0.1822885125875473,-0.8008055090904236,0.0,-1.517213225364685,-0.013409961946308613,0.0
0.13,6.9871602058410645,-0.1040409654378891,2.0,-0.19745826721191406,-0.8009452223777771,0.0,-1.5167295932769775,-0.014521817676723003,0.0
0.14,6.985109806060791,-0.11205117404460907,2.0,-0.2126229703426361,-0.8010958433151245,0.0,-1.5162074565887451,-0.015632309019565582,0.0
0.15,6.982908248901367,-0.1200629323720932,2.0,-0.22778227925300598,-0.801257848739624,0.0,-1.5156464576721191,-0.016741352155804634,0.0
0.16,6.980554580688477,-0.12807637453079224,2.0,-0.24293577671051025,-0.8014307618141174,0.0,-1.5150469541549683,-0.017848825082182884,0.0
0.17,6.978049278259277,-0.13609161972999573,2.0,-0.2580831050872803,-0.8016147613525391,0.0,-1.514409065246582,-0.018954630941152573,0.0
0.18,6.9753923416137695,-0.14410868287086487,2.0,-0.2732238471508026,-0.8018098473548889,0.0,-1.5137324333190918,-0.02005867473781109,0.0
