time,px,py,pz,vx,vy,vz,ax,ay,az
0.0,6.999788761138916,-0.01333341933786869,2.0,-0.021110862493515015,-0.6666795611381531,0.0,-1.0555182695388794,-0.0012962399050593376,0.0
0.01,6.99952507019043,-0.020000291988253593,2.0,-0.031665824353694916,-0.666695773601532,0.0,-1.0554715394973755,-0.0019442555494606495,0.0
0.02,6.999155521392822,-0.026667363941669464,2.0,-0.04222022742033005,-0.6667185425758362,0.0,-1.0554062128067017,-0.0025921445339918137,0.0
0.03,6.998680591583252,-0.033334679901599884,2.0,-0.05277388542890549,-0.6667476296424866,0.0,-1.0553221702575684,-0.0032398663461208344,0.0
0.04,6.998100280761719,-0.04000233858823776,2.0,-0.06332660466432571,-0.6667832732200623,0.0,-1.0552195310592651,-0.0038873786106705666,0.0
0.05,6.9974141120910645,-0.04667036235332489,2.0,-0.0738782063126564,-0.6668253540992737,0.0,-1.0550981760025024,-0.004534639418125153,0.0
0.06,6.996622562408447,-0.053338855504989624,2.0,-0.08442850410938263,-0.6668739318847656,0.0,-1.0549581050872803,-0.005181606858968735,0.0
0.07,6.995725631713867,-0.06000787019729614,2.0,-0.09497730433940887,-0.6669290065765381,0.0,-1.0547994375228882,-0.005828239023685455,0.0
0.08,6.994722843170166,-0.06667747348546982,2.0,-0.10552442073822021,-0.6669904589653015,0.0,-1.0546220541000366,-0.006474491208791733,0.0
0.09,6.99361515045166,-0.07334770262241364,2.0,-0.11606967449188232,-0.667058527469635,0.0,-1.0544260740280151,-0.007120329886674881,0.0
0.1,6.992401123046875,-0.08001864701509476,2.0,-0.12661287188529968,-0.6671329736709595,0.0,-1.0542113780975342,-0.0077657029032707214,0.0
0.11,6.991083145141602,-0.08669038116931915,2.0,-0.13715383410453796,-0.6672138571739197,0.0,-1.0539782047271729,-0.008410574868321419,0.0
0.12,6.989658355712891,-0.093362957239151,2.0,-0.14769238233566284,-0.6673011183738708,0.0,-1.053726315498352,-0.00905490294098854,0.0
0.13,6.988129138946533,-0.10003642737865448,2.0,-0.1582283079624176,-0.6673949956893921,0.0,-1.0534557104110718,-0.009698646143078804,0.0
0.14,6.986494064331055,-0.10671091079711914,2.0,-0.1687614470720291,-0.6674951314926147,0.0,-1.0531665086746216,-0.010341757908463478,0.0
0.15,6.984753608703613,-0.1133863627910614,2.0,-0.17929159104824066,-0.6676016449928284,0.0,-1.0528587102890015,-0.010984204709529877,0.0
0.16,6.982908248901367,-0.1200629323720932,2.0,-0.18981856107711792,-0.6677148342132568,0.0,-1.0525321960449219,-0.011625934392213821,0.0
0.17,6.980957984924316,-0.1267406940460205,2.0,-0.20034217834472656,-0.6678342819213867,0.0,-1.052187204360962,-0.012266915291547775,0.0
0.18,6.978901386260986,-0.13341966271400452,2.0,-0.21086226403713226,-0.6679601669311523,0.0,-1.051823616027832,-0.012907098978757858,0.0
0.19,6.97674036026001,-0.1400999128818512,2.0,-0.22137859463691711,-0.6680924296379089,0.0,-1.0514413118362427,-0.013546448200941086,0.0
0.2,6.97447395324707,-0.1467815339565277,2.0,-0.23189103603363037,-0.6682310104370117,0.0,-1.0510404109954834,-0.014184914529323578,0.0
0.21,6.972102642059326,-0.15346461534500122,2.0,-0.24239937961101532,-0.6683761477470398,0.0,-1.0506210327148438,-0.01482246071100235,0.0
0.22,6.969625949859619,-0.16014905273914337,2.0,-0.25290340185165405,-0.6685275435447693,0.0,-1.0501830577850342,-0.015459053218364716,0.0
0.23,6.967044353485107,-0.16683514416217804,2.0,-0.26340293884277344,-0.668685257434845,0.0,-1.0497264862060547,-0.0160946324467659,0.0
0.24,6.964357852935791,-0.17352280020713806,2.0,-0.27389785647392273,-0.6688494682312012,0.0,-1.0492514371871948,-0.01672917604446411,0.0
0.25,6.961565971374512,-0.180212140083313,2.0,-0.28438788652420044,-0.6690198183059692,0.0,-1.048757791519165,-0.017362624406814575,0.0
0.26,6.958670139312744,-0.1869032084941864,2.0,-0.2948729395866394,-0.669196605682373,0.0,-1.0482456684112549,-0.017994951456785202,0.0
