time,px,py,pz,vx,vy,vz,ax,ay,az
0,-1.5,-2.5,1.45,0,0,0,-22.6102,25.8148,0
0.01,-1.50113,-2.49871,1.45,-0.226102,0.258148,0,-22.6102,25.8148,0
0.02,-1.50452,-2.49484,1.45,-0.452204,0.516296,0,-22.6102,25.8148,0
0.03,-1.51017,-2.48838,1.45,-0.678306,0.774444,0,-22.6102,25.8148,0
0.04,-1.51809,-2.47935,1.45,-0.904408,1.03259,0,-22.6102,25.8148,0
0.05,-1.52826,-2.46773,1.45,-1.13051,1.29074,0,-22.6102,25.8148,0
0.06,-1.5407,-2.45353,1.45,-1.35661,1.54889,0,-22.6102,25.8148,0
0.07,-1.55539,-2.43675,1.45,-1.58271,1.80704,0,-22.6102,25.8148,0
0.08,-1.57235,-2.41739,1.45,-1.80882,2.06518,0,-22.6102,25.8148,0
0.09,-1.58996,-2.39545,1.45,-1.65268,2.32333,0,22.6102,25.8148,0
0.1,-1.60535,-2.37093,1.45,-1.42658,2.58148,0,22.6102,25.8148,0
0.11,-1.61849,-2.34382,1.45,-1.20047,2.83963,0,22.6102,25.8148,0
0.12,-1.62936,-2.31413,1.45,-0.974372,3.09777,0,22.6102,25.8148,0
0.13,-1.63797,-2.28187,1.45,-0.74827,3.35592,0,22.6102,25.8148,0
0.14,-1.64433,-2.24702,1.45,-0.522169,3.61407,0,22.6102,25.8148,0
0.15,-1.64842,-2.20958,1.45,-0.296067,3.87222,0,22.6102,25.8148,0
0.16,-1.65025,-2.16957,1.45,-0.0699647,4.13037,0,22.6102,25.8148,0
0.17,-1.64982,-2.12698,1.45,0.156137,4.38851,0,22.6102,25.8148,0
0.18,-1.64713,-2.0818,1.45,0.382239,4.64666,0,22.6102,25.8148,0
0.19,-1.64217,-2.03404,1.45,0.608341,4.90481,0,22.6102,25.8148,0
0.2,-1.63496,-1.9837,1.45,0.834443,5.16296,0,22.6102,25.8148,0
0.21,-1.62548,-1.93078,1.45,1.06055,5.42111,0,22.6102,25.8148,0
0.22,-1.61375,-1.87528,1.45,1.28665,5.67925,0,22.6102,25.8148,0
0.23,-1.59975,-1.8172,1.45,1.51275,5.9374,0,22.6102,25.8148,0
0.24,-1.58349,-1.75653,1.45,1.73885,6.19555,0,22.6102,25.8148,0
0.25,-1.56497,-1.69329,1.45,1.96495,6.4537,0,22.6102,25.8148,0
0.26,-1.54419,-1.62746,1.45,2.19105,6.71185,0,22.6102,25.8148,0
0.27,-1.52115,-1.55905,1.45,2.41716,6.96999,0,22.6102,25.8148,0
0.27842,-1.5,-1.5,1.45,2.60752,6.94943,0,33.4252,7.75552,0
0.28842,-1.47225,-1.43045,1.45,2.94178,6.92612,0,33.4252,-7.75552,0
0.29842,-1.44116,-1.36157,1.45,3.27603,6.84857,0,33.4252,-7.75552,0
0.30842,-1.40673,-1.29347,1.45,3.61028,6.77101,0,33.4252,-7.75552,0
