time,px,py,pz,vx,vy,vz,ax,ay,az
0,-1.5,-2.5,1.45,0,0,0,-19.3878,26.5624,0
0.01,-1.50097,-2.49867,1.45,-0.193878,0.265624,0,-19.3878,26.5624,0
0.02,-1.50388,-2.49469,1.45,-0.387757,0.531247,0,-19.3878,26.5624,0
0.03,-1.50872,-2.48805,1.45,-0.581635,0.796871,0,-19.3878,26.5624,0
0.04,-1.51551,-2.47875,1.45,-0.775514,1.06249,0,-19.3878,26.5624,0
0.05,-1.52423,-2.4668,1.45,-0.969392,1.32812,0,-19.3878,26.5624,0
0.06,-1.5349,-2.45219,1.45,-1.16327,1.59374,0,-19.3878,26.5624,0
0.07,-1.5475,-2.43492,1.45,-1.35715,1.85937,0,-19.3878,26.5624,0
0.08,-1.56204,-2.415,1.45,-1.55103,2.12499,0,-19.3878,26.5624,0
0.09,-1.5768,-2.39242,1.45,-1.37959,2.39061,0,19.3878,26.5624,0
0.1,-1.58963,-2.36719,1.45,-1.18571,2.65624,0,19.3878,26.5624,0
0.11,-1.60051,-2.3393,1.45,-0.991832,2.92186,0,19.3878,26.5624,0
0.12,-1.60946,-2.30875,1.45,-0.797954,3.18748,0,19.3878,26.5624,0
0.13,-1.61647,-2.27555,1.45,-0.604075,3.45311,0,19.3878,26.5624,0
0.14,-1.62154,-2.23969,1.45,-0.410197,3.71873,0,19.3878,26.5624,0
0.15,-1.62468,-2.20117,1.45,-0.216318,3.98435,0,19.3878,26.5624,0
0.16,-1.62587,-2.16,1.45,-0.02244,4.24998,0,19.3878,26.5624,0
0.17,-1.62513,-2.11617,1.45,0.171438,4.5156,0,19.3878,26.5624,0
0.18,-1.62244,-2.06969,1.45,0.365317,4.78123,0,19.3878,26.5624,0
0.19,-1.61782,-2.02055,1.45,0.559195,5.04685,0,19.3878,26.5624,0
0.2,-1.61126,-1.96875,1.45,0.753074,5.31247,0,19.3878,26.5624,0
0.21,-1.60276,-1.9143,1.45,0.946952,5.5781,0,19.3878,26.5624,0
0.22,-1.59232,-1.85719,1.45,1.14083,5.84372,0,19.3878,26.5624,0
0.23,-1.57994,-1.79743,1.45,1.33471,6.10934,0,19.3878,26.5624,0
0.24,-1.56562,-1.735,1.45,1.52859,6.37497,0,19.3878,26.5624,0
0.25,-1.54937,-1.66993,1.45,1.72247,6.64059,0,19.3878,26.5624,0
0.26,-1.53118,-1.60219,1.45,1.91634,6.90621,0,19.3878,26.5624,0
0.27,-1.51104,-1.53391,1.45,2.11022,6.69913,0,19.3878,-26.5624,0
0.275113,-1.5,-1.5,1.45,2.20935,6.56332,0,32.3282,6.03979,0
0.285113,-1.47629,-1.43466,1.45,2.53263,6.50344,0,32.3282,-6.03979,0
0.295113,-1.44935,-1.36993,1.45,2.85591,6.44304,0,32.3282,-6.03979,0
0.305113,-1.41917,-1.3058,1.45,3.1792,6.38264,0,32.3282,-6.03979,0
0.315113,-1.38576,-1.24228,1.45,3.50248,6.32225,0,32.3282,-6.03979,0
0.325113,-1.34912,-1.17936,1.45,3.82576,6.26185,0,32.3282,-6.03979,0
0.335113,-1.30925,-1.11704,1.45,4.14904,6.20145,0,32.3282,-6.03979,0
0.345113,-1.26614,-1.05533,1.45,4.47232,6.14105,0,32.3282,-6.03979,0
0.355113,-1.2198,-0.99422,1.45,4.7956,6.08065,0,32.3282,-6.03979,0
0.365113,-1.17023,-0.933716,1.45,5.11888,6.02026,0,32.3282,-6.03979,0
0.375113,-1.11742,-0.873815,1.45,5.44217,5.95986,0,32.3282,-6.03979,0
0.385113,-1.06139,-0.814519,1.45,5.76545,5.89946,0,32.3282,-6.03979,0
0.395113,-1.00212,-0.755826,1.45,6.08873,5.83906,0,32.3282,-6.03979,0
0.405113,-0.939611,-0.697737,1.45,6.41201,5.77867,0,32.3282,-6.03979,0
0.415113,-0.873875,-0.640253,1.45,6.73529,5.71827,0,32.3282,-6.03979,0
0.425113,-0.804906,-0.583372,1.45,7.05857,5.65787,0,32.3282,-6.03979,0
0.435113,-0.732703,-0.527095,1.45,7.38186,5.59747,0,32.3282,-6.03979,0
0.445113,-0.657269,-0.471423,1.45,7.70514,5.53707,0,32.3282,-6.03979,0
0.455113,-0.578601,-0.416354,1.45,8.02842,5.47668,0,32.3282,-6.03979,0
0.465113,-0.496752,-0.361889,1.45,8.27013,5.41628,0,-32.3282,-6.03979,0
0.475113,-0.415667,-0.308028,1.45,7.94685,5.35588,0,-32.3282,-6.03979,0
0.485113,-0.337815,-0.254771,1.45,7.62357,5.29548,0,-32.3282,-6.03979,0
0.495113,-0.263195,-0.202119,1.45,7.30029,5.23508,0,-32.3282,-6.03979,0
0.505113,-0.191809,-0.15007,1.45,6.97701,5.17469,0,-32.3282,-6.03979,0
0.515113,-0.123655,-0.0986249,1.45,6.65373,5.11429,0,-32.3282,-6.03979,0
0.534622,0,0,1.45,6.02304,4.99646,0,31.7264,-8.636,0
0.544622,0.0618167,0.0495328,1.45,6.3403,4.9101,0,31.7264,-8.636,0
0.554622,0.126806,0.098202,1.45,6.65757,4.82374,0,31.7264,-8.636,0
0.564622,0.194968,0.146008,1.45,6.97483,4.73738,0,31.7264,-8.636,0
0.574622,0.266303,0.19295,1.45,7.29209,4.65102,0,31.7264,-8.636,0
0.584622,0.34081,0.239028,1.45,7.60936,4.56466,0,31.7264,-8.636,0
0.594622,0.41849,0.284243,1.45,7.92662,4.4783,0,31.7264,-8.636,0
0.604622,0.498756,0.328594,1.45,7.97106,4.39194,0,-31.7264,-8.636,0
0.614622,0.57688,0.372081,1.45,7.6538,4.30558,0,-31.7264,-8.636,0
0.624622,0.651832,0.414705,1.45,7.33653,4.21922,0,-31.7264,-8.636,0
0.634622,0.723611,0.456466,1.45,7.01927,4.13286,0,-31.7264,-8.636,0
0.644622,0.792217,0.497363,1.45,6.70201,4.0465,0,-31.7264,-8.636,0
0.654622,0.857651,0.537396,1.45,6.38474,3.96014,0,-31.7264,-8.636,0
0.664622,0.919912,0.576657,1.45,6.06748,3.93009,0,-31.7264,8.636,0
0.674622,0.979,0.61639,1.45,5.75021,4.01645,0,-31.7264,8.636,0
0.684622,1.03492,0.656986,1.45,5.43295,4.10281,0,-31.7264,8.636,0
0.694622,1.08766,0.698446,1.45,5.11569,4.18917,0,-31.7264,8.636,0
0.704622,1.13723,0.74077,1.45,4.79842,4.27553,0,-31.7264,8.636,0
0.714622,1.18363,0.783957,1.45,4.48116,4.36189,0,-31.7264,8.636,0
0.724622,1.22685,0.828007,1.45,4.1639,4.44825,0,-31.7264,8.636,0
0.734622,1.26691,0.872922,1.45,3.84663,4.53461,0,-31.7264,8.636,0
0.744622,1.30379,0.9187,1.45,3.52937,4.62097,0,-31.7264,8.636,0
0.754622,1.33749,0.965341,1.45,3.21211,4.70733,0,-31.7264,8.636,0
0.764622,1.36803,1.01285,1.45,2.89484,4.79369,0,-31.7264,8.636,0
0.774622,1.39539,1.06121,1.45,2.57758,4.88005,0,-31.7264,8.636,0
0.784622,1.41958,1.11045,1.45,2.26032,4.96641,0,-31.7264,8.636,0
0.794622,1.4406,1.16054,1.45,1.94305,5.05277,0,-31.7264,8.636,0
0.804622,1.45844,1.2115,1.45,1.62579,5.13913,0,-31.7264,8.636,0
0.814622,1.47311,1.26333,1.45,1.30853,5.22549,0,-31.7264,8.636,0
0.824622,1.48461,1.31601,1.45,0.991262,5.31185,0,-31.7264,8.636,0
0.834622,1.49294,1.36956,1.45,0.673998,5.39821,0,-31.7264,8.636,0
0.858335,1.5,1.5,1.45,-0.0783372,5.603,0,-22.2725,24.1993,0
0.868335,1.4981,1.55724,1.45,-0.301063,5.84499,0,-22.2725,24.1993,0
0.878335,1.49398,1.6169,1.45,-0.523788,6.08698,0,-22.2725,24.1993,0
0.888335,1.48763,1.67898,1.45,-0.746513,6.32898,0,-22.2725,24.1993,0
0.898335,1.47905,1.74348,1.45,-0.969239,6.57097,0,-22.2725,24.1993,0
0.908335,1.46824,1.8104,1.45,-1.19196,6.81297,0,-22.2725,24.1993,0
0.918335,1.45521,1.87974,1.45,-1.41469,7.05496,0,-22.2725,24.1993,0
0.928335,1.43995,1.95121,1.45,-1.63741,7.12987,0,-22.2725,-24.1993,0
0.938335,1.42246,2.0213,1.45,-1.86014,6.88787,0,-22.2725,-24.1993,0
0.948335,1.40275,2.08897,1.45,-2.08287,6.64588,0,-22.2725,-24.1993,0
0.958335,1.3808,2.15422,1.45,-2.30559,6.40389,0,-22.2725,-24.1993,0
0.968335,1.35663,2.21705,1.45,-2.52832,6.16189,0,-22.2725,-24.1993,0
0.978335,1.33024,2.27745,1.45,-2.75104,5.9199,0,-22.2725,-24.1993,0
0.988335,1.30161,2.33544,1.45,-2.97377,5.67791,0,-22.2725,-24.1993,0
0.998335,1.27076,2.39101,1.45,-3.19649,5.43591,0,-22.2725,-24.1993,0
1.00834,1.23768,2.44416,1.45,-3.41922,5.19392,0,-22.2725,-24.1993,0
1.01834,1.20238,2.49489,1.45,-3.64194,4.95193,0,-22.2725,-24.1993,0
1.02834,1.16484,2.5432,1.45,-3.86467,4.70993,0,-22.2725,-24.1993,0
1.03834,1.12508,2.58909,1.45,-4.08739,4.46794,0,-22.2725,-24.1993,0
1.04834,1.0831,2.63256,1.45,-4.31012,4.22595,0,-22.2725,-24.1993,0
1.05834,1.03888,2.67361,1.45,-4.53284,3.98395,0,-22.2725,-24.1993,0
1.06834,0.99244,2.71224,1.45,-4.75557,3.74196,0,-22.2725,-24.1993,0
1.07834,0.94377,2.74845,1.45,-4.9783,3.49997,0,-22.2725,-24.1993,0
1.08834,0.892874,2.78224,1.45,-5.20102,3.25797,0,-22.2725,-24.1993,0
1.09834,0.83975,2.81361,1.45,-5.42375,3.01598,0,-22.2725,-24.1993,0
1.10834,0.784399,2.84256,1.45,-5.64647,2.77399,0,-22.2725,-24.1993,0
1.11834,0.726821,2.86909,1.45,-5.8692,2.53199,0,-22.2725,-24.1993,0
1.12834,0.667015,2.8932,1.45,-6.09192,2.29,0,-22.2725,-24.1993,0
1.13834,0.604982,2.91489,1.45,-6.31465,2.048,0,-22.2725,-24.1993,0
1.14834,0.540722,2.93416,1.45,-6.53737,1.80601,0,-22.2725,-24.1993,0
1.15834,0.474235,2.95101,1.45,-6.7601,1.56402,0,-22.2725,-24.1993,0
1.16834,0.405626,2.96544,1.45,-6.88553,1.32202,0,22.2725,-24.1993,0
1.17834,0.337885,2.97745,1.45,-6.66281,1.08003,0,22.2725,-24.1993,0
1.18834,0.27237,2.98704,1.45,-6.44008,0.838037,0,22.2725,-24.1993,0
1.19834,0.209083,2.99421,1.45,-6.21736,0.596044,0,22.2725,-24.1993,0
