t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-5,4.5,1.2,-0,0,-0.57364,0.81911,0,0,0,0,0,0,0,0,0,0,0,0,2.5675,3.3655,3.365,2.568,0,0,0,80.892,-222.78,40.943
0.01,-5,4.5,1.2,0.00034037,0.00048644,-0.57364,0.81911,1.3336e-05,-3.664e-05,6.7474e-06,-0.00021682,0.23536,-7.1897e-08,0.0039861,-0.010943,0.0020166,0,0,0,2.5902,3.344,3.3459,2.5883,0.79139,-2.1692,0.40028,77.397,-211.1,39.119
0.02,-5,4.5,1.2,0.0013351,0.0019123,-0.57364,0.8191,0.00010552,-0.00028924,5.3372e-05,-0.0011428,0.45789,-1.1312e-06,0.015712,-0.042999,0.0079454,0,0,0,2.6146,3.3233,3.3274,2.6104,1.5482,-4.2229,0.78249,73.971,-199.68,37.329
0.03,-5,4.5,1.2,0.0029478,0.0042239,-0.57294,0.81958,0.00035224,-0.00096318,0.0001781,-0.0016221,0.66734,-5.6269e-06,0.034837,-0.095024,0.017607,0,0,0,2.64,3.3041,3.3092,2.6346,2.271,-6.1636,1.147,70.613,-188.5,35.574
0.04,-5,4.5,1.2,0.0051362,0.0073703,-0.5726,0.81978,0.00082579,-0.0022526,0.00041738,-0.0028754,0.86352,-1.7457e-05,0.061022,-0.1659,0.030827,0,0,0,2.6673,3.2855,3.2923,2.6601,2.9607,-7.9938,1.4941,67.323,-177.58,33.852
0.05,-5,4.4999,1.2,0.0078611,0.011297,-0.57225,0.81997,0.0015951,-0.0043404,0.00080592,-0.0044777,1.0462,-4.1801e-05,0.093941,-0.25454,0.047432,0,0,0,2.6963,3.2681,3.2763,2.6872,3.6177,-9.716,1.8241,64.101,-166.9,32.164
0.06,-5,4.4999,1.2,0.011082,0.01595,-0.57186,0.82012,0.002726,-0.007399,0.0013767,-0.0064231,1.2153,-8.4929e-05,0.13327,-0.35987,0.067254,0,0,0,2.727,3.2519,3.2614,2.7161,4.2429,-11.333,2.1375,60.944,-156.47,30.509
0.07,-4.9999,4.4998,1.2,0.014757,0.021273,-0.57145,0.82023,0.0042809,-0.01159,0.0021612,-0.0087044,1.3705,-0.00015401,0.1787,-0.48085,0.090127,0,0,0,2.7596,3.2371,3.2478,2.7467,4.8368,-12.846,2.4344,57.854,-146.28,28.887
0.08,-4.9999,4.4997,1.2001,0.018846,0.02721,-0.57099,0.82029,0.0063192,-0.017065,0.0031889,-0.011313,1.5118,-0.00025691,0.22991,-0.61646,0.11589,0,0,0,2.794,3.2238,3.2355,2.7792,5.4002,-14.259,2.7153,54.829,-136.33,27.298
0.09,-4.9998,4.4994,1.2001,0.023305,0.033704,-0.57048,0.82029,0.0088973,-0.023965,0.004488,-0.014239,1.6391,-0.00040196,0.2866,-0.7657,0.14438,0,0,0,2.8305,3.2123,3.2248,2.8136,5.9336,-15.574,2.9805,51.87,-126.62,25.742
0.1,-4.9997,4.4992,1.2002,0.028093,0.040698,-0.56992,0.82021,0.012068,-0.032421,0.0060851,-0.017471,1.7522,-0.00059775,0.34848,-0.92761,0.17545,0,0,0,2.8689,3.2028,3.2159,2.85,6.4378,-16.792,3.2303,48.974,-117.14,24.217
0.11,-4.9996,4.4988,1.2002,0.033168,0.048133,-0.5693,0.82005,0.015883,-0.042556,0.0080051,-0.020996,1.8512,-0.00085287,0.41526,-1.1012,0.20894,0,0,0,2.9094,3.1955,3.209,2.8883,6.9133,-17.917,3.465,46.142,-107.9,22.725
0.12,-4.9994,4.4983,1.2003,0.038486,0.055951,-0.56861,0.8198,0.020389,-0.054482,0.010271,-0.024799,1.9362,-0.0011758,0.48665,-1.2857,0.2447,0,0,0,2.9517,3.1906,3.2044,2.9285,7.3609,-18.951,3.6849,43.374,-98.891,21.264
0.13,-4.9991,4.4977,1.2004,0.044006,0.064095,-0.56785,0.81945,0.025631,-0.068302,0.012906,-0.028866,2.0073,-0.0015744,0.56239,-1.48,0.28259,0,0,0,2.9959,3.1885,3.2023,2.9706,7.781,-19.896,3.8903,40.667,-90.109,19.835
0.14,-4.9989,4.4969,1.2006,0.049688,0.072508,-0.56702,0.819,0.03165,-0.084111,0.01593,-0.03318,2.0649,-0.0020563,0.64219,-1.6833,0.32246,0,0,0,3.0418,3.1892,3.203,3.0144,8.1744,-20.754,4.0817,38.023,-81.554,18.437
0.15,-4.9985,4.496,1.2008,0.055491,0.081135,-0.56611,0.81845,0.038487,-0.10199,0.019361,-0.037724,2.1093,-0.0026282,0.72579,-1.8948,0.36417,0,0,0,3.0894,3.1932,3.2066,3.0599,8.5417,-21.528,4.2592,35.441,-73.224,17.07
0.16,-4.9981,4.4949,1.201,0.061375,0.089922,-0.56514,0.81778,0.046178,-0.12203,0.023219,-0.04248,2.1411,-0.0032957,0.81293,-2.1136,0.4076,0,0,0,3.1384,3.2005,3.2135,3.1068,8.8834,-22.219,4.4232,32.919,-65.116,15.733
