t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,1.5,-0,0,-6.1409e-10,1,0,0,0,0,0,0,0,0,-6.8066,0,0,0,-0.072093,1.8871,1.8871,-0.072093,0,0,0,201.87,-2.4823e-07,110.2
0.01,8.3363e-08,-1.0239e-16,1.4997,1.0142e-12,0.0016543,-6.1409e-10,1,3.3271e-05,-4.085e-14,-0.068048,-1.4991e-12,0.65559,-1.3843e-15,0.009944,-1.2203e-11,-6.8012,0,0,0,-0.016837,1.8351,1.8351,-0.016837,1.9739,-2.4199e-09,1.0835,192.95,-2.3578e-07,106.5
0.02,1.3219e-06,-1.6216e-15,1.4986,3.9696e-12,0.0064837,-6.1238e-10,0.99998,0.0002632,-3.2266e-13,-0.13599,-3.5284e-12,1.268,-2.1512e-14,0.039184,-4.7986e-11,-6.7851,0,0,0,0.059831,1.7684,1.7684,0.059831,3.8595,-4.7165e-09,2.1303,184.2,-2.2359e-07,102.86
0.03,6.6324e-06,-8.1257e-15,1.4969,8.7006e-12,0.014242,-6.1109e-10,0.9999,0.00087836,-1.0751e-12,-0.20371,-7.8387e-12,1.8256,-1.0502e-13,0.086846,-1.0613e-10,-6.7587,0,0,0,0.15535,1.6894,1.6894,0.15535,5.6584,-6.8924e-09,3.1409,175.6,-2.1164e-07,99.279
0.04,2.0774e-05,-2.5419e-14,1.4946,1.5013e-11,0.02463,-6.0972e-10,0.9997,0.0020587,-2.5158e-12,-0.27113,-1.371e-11,2.3188,-3.1779e-13,0.15207,-1.8544e-10,-6.7224,0,0,0,0.26701,1.6012,1.6012,0.26701,7.3721,-8.9501e-09,4.116,167.17,-1.9995e-07,95.747
0.05,5.0261e-05,-6.1423e-14,1.4915,2.2687e-11,0.037302,-6.0821e-10,0.9993,0.0039755,-4.8506e-12,-0.33813,-2.0997e-11,2.74,-7.3761e-13,0.23401,-2.8475e-10,-6.6765,0,0,0,0.3917,1.5073,1.5073,0.3917,9.0024,-1.0892e-08,5.056,158.9,-1.885e-07,92.268
0.06,0.00010328,-1.2606e-13,1.4878,3.148e-11,0.05188,-6.0654e-10,0.99865,0.0067918,-8.2736e-12,-0.40463,-2.9525e-11,3.0839,-1.444e-12,0.33184,-4.0291e-10,-6.6213,0,0,0,0.52576,1.4117,1.4117,0.52576,10.551,-1.2721e-08,5.9616,150.78,-1.773e-07,88.842
0.07,0.00018961,-2.3113e-13,1.4834,4.1145e-11,0.067964,-6.0466e-10,0.99769,0.010663,-1.2968e-11,-0.47053,-3.9098e-11,3.3483,-2.5082e-12,0.44475,-5.388e-10,-6.5573,0,0,0,0.66508,1.319,1.319,0.66508,12.018,-1.4439e-08,6.8331,142.82,-1.6635e-07,85.468
0.08,0.00032054,-3.9023e-13,1.4784,5.1427e-11,0.085151,-6.0257e-10,0.99637,0.015735,-1.9105e-11,-0.53574,-4.9503e-11,3.5338,-3.9854e-12,0.57195,-6.9133e-10,-6.4848,0,0,0,0.80537,1.2339,1.2339,0.80537,13.408,-1.6049e-08,7.6711,135.02,-1.5563e-07,82.146
0.09,0.00050877,-6.1858e-13,1.4727,6.2086e-11,0.10305,-6.0024e-10,0.99468,0.022147,-2.6846e-11,-0.6002,-6.0522e-11,3.6443,-5.9087e-12,0.71265,-8.5942e-10,-6.404,0,0,0,0.9426,1.1606,1.1606,0.9426,14.719,-1.7553e-08,8.4762,127.37,-1.4516e-07,78.876
