t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,0,0,1.5,-0,0,-0.015338,0.99988,0,0,0,0,0,0,0,0,0,0,0,0,1.5771,2.5908,2.5907,1.5771,0,0,0,2107.6,-64.854,-369.18
0.01,8.6112e-07,-2.6425e-08,1.5,7.965e-05,0.0052107,-0.015338,0.99987,0.00034276,-1.0511e-05,-5.9337e-05,-0.00024652,2.0537,-7.0723e-07,0.10198,-0.003124,-0.017584,0,0,0,1.6174,2.5432,2.5435,1.6171,20.061,-0.61318,-3.4307,1906,-57.88,-317.45
0.02,1.3509e-05,-4.135e-07,1.5,0.00030831,0.020254,-0.015277,0.99968,0.0026751,-8.1784e-05,-0.00045755,-0.00069143,3.9387,-9.2175e-06,0.39464,-0.012041,-0.066938,0,0,0,1.6457,2.4971,2.4975,1.6453,38.149,-1.1595,-6.3589,1713.1,-51.485,-268.68
0.03,6.7049e-05,-2.0476e-06,1.5,0.00067185,0.044314,-0.015223,0.9989,0.0088067,-0.0002685,-0.0014877,-0.0012692,5.6634,-3.65e-05,0.85868,-0.026111,-0.14318,0,0,0,1.676,2.4472,2.4476,1.6755,54.352,-1.6448,-8.8138,1528.9,-45.653,-222.79
0.04,0.00020773,-6.3308e-06,1.5,0.0011561,0.076488,-0.015158,0.99695,0.020358,-0.00061923,-0.0033955,-0.0017388,7.1948,-8.4117e-05,1.4757,-0.044751,-0.24173,0,0,0,1.7236,2.3897,2.39,1.7232,68.755,-2.0744,-10.824,1353.1,-40.367,-179.72
0.05,0.00049711,-1.5123e-05,1.4999,0.0017432,0.11557,-0.015071,0.99318,0.038771,-0.001177,-0.0063823,-0.0018955,8.4626,-0.00013109,2.228,-0.067432,-0.35828,0,0,0,1.8022,2.3237,2.3238,1.8019,81.441,-2.4539,-12.417,1185.5,-35.61,-139.41
0.06,0.0010103,-3.0688e-05,1.4998,0.0024096,0.1599,-0.014955,0.98702,0.065315,-0.0019798,-0.010608,-0.0015436,9.3789,-0.00012448,3.099,-0.093679,-0.48878,0,0,0,1.9185,2.255,2.2549,1.9187,92.492,-2.7883,-13.621,1026.1,-31.366,-101.78
0.07,0.0018342,-5.5647e-05,1.4997,0.003126,0.20738,-0.014806,0.97814,0.10109,-0.003061,-0.016192,-0.00052226,9.8721,2.1147e-05,4.0727,-0.12307,-0.62949,0,0,0,2.0698,2.1972,2.1971,2.0707,101.99,-3.0828,-14.462,874.66,-27.616,-66.77
0.08,0.0030661,-9.2935e-05,1.4995,0.0038606,0.25569,-0.014623,0.96664,0.14706,-0.0044503,-0.02322,0.001268,9.9215,0.00041184,5.1339,-0.15522,-0.77689,0,0,0,2.2449,2.1692,2.1691,2.2468,110.01,-3.3423,-14.965,730.97,-24.346,-34.311
0.09,0.0048121,-0.00014577,1.4992,0.0045842,0.30262,-0.014414,0.95299,0.20402,-0.0061735,-0.031741,0.0038541,9.5726,0.0011532,6.2683,-0.18981,-0.92775,0,0,0,2.4305,2.1877,2.1879,2.4335,116.63,-3.5713,-15.156,594.89,-21.537,-4.3359
